ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
105478,Berwyn Heights Town Hall,public,Non-Networked,2022-11-10,2018-12-01,,,2.0,5700 Berwyn Rd,Berwyn Heights,MD,20740,38.992364,-76.917261,Free,J1772
105479,Hagerstown - Central Parking Lot,public,Non-Networked,2022-11-10,2018-12-01,4.0,,,14 N Potomac St,Hagerstown,MD,21740,39.642218,-77.719215,$2.50 per session; $0.20 per minute,J1772COMBO
113646,Washington Plaza Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2017-12-07,,,18.0,10 Thomas Cir NW,Washington,DC,20005,38.906456,-77.031163,Free,J1772
113647,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2018-08-31,,,4.0,1011 L St NW,Washington,DC,20001,38.9043681,-77.0267268,Free,J1772
113650,"The Donovan, a Kimpton Hotel - Tesla Destination",public,Tesla Destination,2022-10-06,2015-11-19,,,3.0,1155 14th St NW,Washington,DC,20005,38.904958,-77.031772,Free,J1772
113651,Park Hyatt Washington - Tesla Destination,public,Tesla Destination,2022-10-06,2018-05-14,,,4.0,1201 24th St NW,Washington,DC,20037,38.9058204,-77.0512085,Free,J1772
113652,Kimpton Rouge Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-11,,,3.0,1315 16th St NW,Washington,DC,20036,38.908258,-77.036037,Free,J1772
113653,"Mandarin Oriental, Washington DC - Tesla Destination",public,Tesla Destination,2022-10-06,2015-01-27,,,2.0,1330 Maryland Ave SW,Washington,DC,20024,38.883828,-77.030247,Free,TESLA
113654,Kimpton Mason & Rook Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-07-19,,,2.0,1430 Rhode Island Ave,Washington,DC,20005,38.908429,-77.033132,Free,J1772
113655,The Kimpton George Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-30,,,2.0,15 E St NW,Washington,DC,20001,38.896373,-77.010017,Free,J1772
113656,Courtyard Washington Embassy Row - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-25,,,2.0,1600 Rhode Island Ave NW,Washington,DC,20036,38.906641,-77.036861,Free,TESLA
113657,Kimpton Carlyle Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-11,,,2.0,1731 New Hampshire Ave NW,Washington,DC,20009,38.913322,-77.039525,Free,J1772
113658,One Parking 2000 K - Tesla Destination,public,Tesla Destination,2022-10-06,2018-06-12,,,1.0,2000 K St NW,Washington,DC,20006,38.9020444,-77.0453237,Free,TESLA
113659,Embassy Row Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-28,,,4.0,2015 Massachusetts Ave NW,Washington,DC,20036,38.910623,-77.045745,Free,J1772
113660,Atlantic Plumbing Building Parking - Tesla Destination,public,Tesla Destination,2022-10-06,2017-01-04,,,1.0,2112 8th St NW,Washington,DC,20001,38.918283,-77.023174,Free,TESLA
113661,State Plaza Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2018-10-03,,,4.0,2117 E St NW,Washington,DC,20037,38.8962171,-77.047623,Free,J1772
113662,Kimpton Hotel Palomar Washington DC - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-23,,,2.0,2121 P St NW,Washington,DC,20037,38.909852,-77.047399,Free,J1772
113664,Avenue Suites Georgetown - Tesla Destination,public,Tesla Destination,2022-10-06,2018-04-30,,,4.0,2500 Pennsylvania Ave NW,Washington,DC,20037,38.9033344,-77.0536137,Free,TESLA
113665,Kimpton Glover Park Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-07-19,,,2.0,2505 Wisconsin Ave NW,Washington,DC,20007,38.92336,-77.072855,Free,J1772
113666,The Watergate Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2018-01-22,,,4.0,2650 Virginia Ave NW,Washington,DC,20037,38.8993596,-77.0557605,Free,TESLA
113667,Four Seasons Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2018-02-28,,,2.0,2800 Pennsylvania Ave NW,Washington,DC,20007,38.904437,-77.057389,Free,TESLA
113668,Hyatt Regency Washington on Capitol Hill - Tesla Destination,public,Tesla Destination,2022-10-06,2016-04-19,,,4.0,400 New Jersey Ave NW,Washington,DC,20001,38.895083,-77.011283,Free,J1772
113669,The Liaison Capitol Hill - Tesla Destination,public,Tesla Destination,2022-10-06,2018-04-13,,,4.0,415 New Jersey Ave NW,Washington,DC,20001,38.8954701,-77.0109949,Free,TESLA
113671,Hilton Garden Inn Washington DC Downtown - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-10,,,2.0,815 14th St NW,Washington,DC,20005,38.9007011,-77.0316487,Free,TESLA
