Fuel Type Code,Station Name,Street Address,City,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,State
ELEC,1801 Pennsylvania Avenue Northwest,1801 Pennsylvania Avenue Northwest,Washington,20006,J1772,FREE,38.9004219,-77.0418833,public,DC
ELEC,600 New Hampshire Ave,600 New Hampshire Avenue Northwest,Washington,20037,J1772,$1.50/Hr Parking Fee,38.8978425,-77.0551966,public,DC
ELEC,Capitol Crossing,200 Massachusetts Ave NW,Washington,20001,J1772,Free,38.898971,-77.014127,public,DC
ELEC,Metropolitan Square Garage,655 15th Street NW,Washington,20005,J1772,$1.00-$5.00/Hr Variable Parking Fee,38.898011,-77.0336201,public,DC
ELEC,Union Place,200 K Street NE,Washington,20002,J1772,FREE,38.9031507,-77.0032763,public,DC
ELEC,Garages,"7323 R 12th ST., NW",Washington,20012,J1772,FREE,38.9790239,-77.0276195,public,DC
ELEC,655 New York Ave NW,655 New York Avenue Northwest,Washington,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9054465,-77.0205502,public,DC
ELEC,1275 New Jersey Ave,1275 New Jersey Avenue Southeast,Washington,20003,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.8752301,-77.0039287,public,DC
ELEC,901 F,901 F St. NW,Washington,20004,J1772,$0.00-$0.50/kWh Variable Energy Fee,38.8976072,-77.0240107,public,DC
ELEC,1771 N Street,1771 N Street NW,Washington,20036,J1772,FREE,38.9075534,-77.0413078,public,DC
ELEC,Garage 2A,"Riley St  SW, Washington DC, 20024",Washington,20024,J1772,FREE,38.8779129,-77.0219095,public,DC
ELEC,The Wharf Public Garage 3,600 Water Street Southwest,Washington,20024,J1772,FREE,38.8753566,-77.0210991,public,DC
ELEC,1000 South Capitol,1000 S Capitol St SE,Washington,20003,J1772,FREE,38.8783202,-77.0087047,public,DC
ELEC,Tribeca,40N St. NE,Washington,20002,J1772,FREE,38.890927,-76.980764,public,DC
ELEC,The Apollo,600 H St NE,Washington,20002,J1772,Free,38.900253,-76.998243,public,DC
ELEC,670 Maine Private Parking Nest,"670 Maine Ave SW, Washington DC 20024",Washington,20024,J1772,FREE,38.8777768,-77.0225306,public,DC
ELEC,Capitol Riverfront,861 New Jersey Ave SE,Washington,20003,J1772,Free,38.880326,-77.00574017,public,DC
ELEC,600 Water Private Parking Nest,600 Water Street Southwest,Washington,20024,J1772,FREE,38.8753566,-77.0210991,public,DC
ELEC,531710  650 Massachusetts Ave NW,650 Massachusetts Ave NW,Washington,20001,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.899413,-77.024307,public,DC
ELEC,600 Thirteenth,600 13th Street N.W.,Washington,20005,J1772,$0.25/kWh Energy Fee,38.8976502,-77.0299233,public,DC
ELEC,Garage 2B,"Parker Row SW, Washington, DC 20024",Washington,20024,J1772,FREE,38.8773729,-77.0213205,public,DC
ELEC,2 M Street,"2 M Street, NE",Washington,20002,J1772,FREE,38.905762,-77.0086436,public,DC
ELEC,Franklin D. Reeves Building,2000 14th St NW,Washington,20009,J1772,$1 per hr 7am-10pm; $0.50 per hr 10pm-7am,38.917564,-77.032504,public,DC
ELEC,700 Penn,700 Pennsylvania Avenue Southeast,Washington,20003,J1772,FREE,38.8850381,-76.9957982,public,DC
ELEC,1220 19th St,1220 19th Street Northwest,Washington,20036,J1772,$1.50/Hr Parking Fee,38.906607,-77.0439431,public,DC
ELEC,Sheikh Zayed Campus (SZ),111 Michigan Avenue,Washington,20010,J1772,FREE,38.9271737,-77.014524,public,DC
ELEC,NYA90,901 New York Ave. NW,Washington,20001,J1772,"$1.00-$5.00/Hr Variable Parking Fee, $0.03/kWh Energy Fee",38.9019902,-77.0252236,public,DC
ELEC,Knollwood Life Plan Community,"6200 Oregon Avenue, NW",Washington,20015,J1772,"$4.00/Hr Parking Fee , $0.25-$0.50/kWh Variable Energy Fee",38.9709327,-77.0552771,public,DC
ELEC,Hilton Garden Inn,2201 M St NW,Washington,20037,J1772,Free,38.9056279,-77.04896502,public,DC
ELEC,1055 High Condominium,1055 Wisconsin Avenue Northwest,Washington,20007,J1772,FREE,38.9041479,-77.0627761,public,DC
ELEC,1875 Pennsylvania Ave NW,1875 Pennsylvania Avenue Northwest,Washington,20006,J1772,FREE,38.9005059,-77.0425038,public,DC
ELEC,Canal Park,1015 2nd Pl SE,Washington,20003,J1772,Free,38.8779161,-77.0027427,public,DC
ELEC,1201-1225 New York Avenue SPE,"1201 New York Avenue, NW",Washington,20005,J1772,Free,38.901252,-77.028574,public,DC
ELEC,The Hay-Adams - Tesla Destination,800 16th St NW,Washington,20006,TESLA,Free,38.9005107,-77.0369492,public,DC
ELEC,1200 First St NE,1200 First St NE,Washington,20002,J1772 NEMA515,Free with parking,38.90608235,-77.00629931,public,DC
ELEC,Upton Place Parking Garage - Tesla Destination,4000 Wisconsin Ave NW,Washington,20016,J1772 TESLA,$0.33 per kWh,38.94168438,-77.07678809,public,DC
ELEC,One Franklin Square Parking Garage,1010 13th St NW,Washington,19119,J1772,Free,38.90294784,-77.03004941,public,DC
ELEC,Sursum Corda - Parking Lot,1112 First Ter NW,Washington,20036,J1772,$1 session fee; $0.35 per kWh; $3 per hour idle fee,38.90429,-77.012001,public,DC
ELEC,Municipal Garage,200 N Holliday St,Baltimore,21202,J1772 NEMA520,Free,39.291785,-76.610539,public,MD
ELEC,Bel Air Nissan,1506 Bel Air Rd,Bel Air,21014,CHADEMO J1772 J1772COMBO,Free,39.5059,-76.38238,public,MD
ELEC,Community College of Baltimore County (CCBC),800 S Rolling Rd,Catonsville,21228,J1772,Free,39.256947,-76.730918,public,MD
ELEC,Younger Nissan,7418 Grove Rd,Frederick,21704,CHADEMO J1772 J1772COMBO,Free,39.39116,-77.40777,public,MD
ELEC,Criswell Nissan,19574 Amaranth Dr,Germantown,20874,J1772,Free,39.177414,-77.249773,public,MD
