Fuel Type Code,Station Name,Street Address,Date Last Confirmed,Groups With Access Code,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,ID
ELEC,Oak Grove Plantation Bed and Breakfast - Tesla Destination,1245 Cluster Springs Rd,2022-10-06,Public,VA,South Boston,2016-06-22,24592,J1772 TESLA,Free,36.611201,-78.929852,public,326
ELEC,Sleep Inn Staunton - Tesla Destination,222 Jefferson Hwy,2022-10-06,Public,VA,Staunton,2017-11-01,24401,J1772 TESLA,Free,38.125257,-79.030738,public,327
ELEC,Berkeley House Bed and Breakfast - Tesla Destination,303 Berkeley Pl,2022-10-06,Public,VA,Staunton,2016-12-20,24401,TESLA,Free,38.150831,-79.068383,public,328
ELEC,Best Western Staunton Inn - Tesla Destination,92 Rowe Rd,2022-10-06,Public,VA,Staunton,2018-01-30,24401,J1772 TESLA,Free,38.126049,-79.034742,public,329
ELEC,Hampton Inn Stony Creek/Petersburg Area - Tesla Destination,10476 Blue Star Hwy,2022-10-06,Public,VA,Stony Creek,2017-08-30,23882,TESLA,Free,36.974829,-77.394007,public,330
ELEC,Front Porch Market & Grill - Tesla Destination,6483 Main St,2022-10-06,Public,VA,The Plains,2017-07-27,22682,TESLA,Free,38.861855,-77.774148,public,331
ELEC,Comfort Inn Troutville - Roanoke North - Tesla Destination,2545 Lee Hwy,2022-10-06,Public,VA,Troutville,2018-03-07,24175,J1772 TESLA,Free,37.383557,-79.903663,public,332
ELEC,"Sugar Tree Inn, a Select Registry Property - Tesla Destination",145 Lodge Trl,2022-10-06,Public,VA,Vesuvius,2015-08-18,24483,J1772 TESLA,Free,37.887169,-79.164274,public,333
ELEC,Four Points by Sheraton Virginia Beach Oceanfront - Tesla Destination,1211 Atlantic Ave,2022-10-06,Public,VA,Virginia Beach,2016-07-12,23451,J1772 TESLA,Free,36.841355,-75.972945,public,334
ELEC,Wasserhund Brewing Company - Tesla Destination,1805 Laskin Rd,2022-10-06,Public,VA,Virginia Beach,2017-07-31,23454,J1772 TESLA,Free,36.848934,-76.027545,public,335
ELEC,Il Gardino - Tesla Destination,2105 W Great Neck Rd,2022-10-06,Public,VA,Virginia Beach,2017-10-26,23451,TESLA,Free,36.9050547,-76.0702417,public,336
ELEC,PRESS wine bar - Tesla Destination,2301 Red Tide Rd,2022-10-06,Public,VA,Virginia Beach,2018-02-26,23451,TESLA,Free,36.9114672,-76.0742967,public,337
ELEC,"Beach Spa Bed & Breakfast,a Select Registry Property - Tesla Destination",2420 Arctic Ave,2022-10-06,Public,VA,Virginia Beach,2016-11-18,23451,TESLA,Free,36.852647,-75.979855,public,338
