ID,Station_Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
871,GARAGE STATION 01,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,8600 Old Georgetown Rd,Bethesda,MD,20817,38.998554,-77.110069,,J1772
872,GARAGE STATION 02,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,8600 Old Georgetown Rd,Bethesda,MD,20817,38.998452,-77.110047,,J1772
873,JBG SMITH 2200 CLARENDON,public,ChargePoint Network,2024-10-10,2021-01-27,0,1,1,2200 Clarendon Blvd,Arlington,VA,22201,38.890091,-77.085945,,J1772
874,HARBOR POINT P2303-4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1399 Dock St,Baltimore,MD,21231,39.281374,-76.597876,,J1772
875,HARBOR POINT P2303-3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1399 Dock St,Baltimore,MD,21231,39.281383,-76.598013,,J1772
876,HARBOR POINT P2303-2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1399 Dock St,Baltimore,MD,21231,39.281388,-76.598103,,J1772
877,HADEN TOWER 61-62,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1575 Anderson Rd,McLean,VA,22102,38.926834,-77.207565,,J1772
878,UM PTS LEXINGTON #1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,680 W Lexington St,Baltimore,MD,21201,39.291356,-76.626754,,J1772
879,COLUMBIA ASSOC STATION1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,5440 Old Tucker Row,Columbia,MD,21044,39.222195,-76.888037,,J1772
880,FASTPARK BWI 4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1718 W Nursery Rd,Linthicum Heights,MD,21090,39.198402,-76.684923,,J1772
881,FASTPARK BWI 6,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1718 W Nursery Rd,Linthicum Heights,MD,21090,39.19905,-76.683952,,J1772
882,FASTPARK BWI 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1718 W Nursery Rd,Linthicum Heights,MD,21090,39.198349,-76.684732,,J1772
883,FASTPARK BWI 3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1718 W Nursery Rd,Linthicum Heights,MD,21090,39.198461,-76.683163,,J1772
884,FASTPARK BWI 5,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1718 W Nursery Rd,Linthicum Heights,MD,21090,39.198382,-76.684588,,J1772
885,1255 22ND ST STATION 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1255 22nd St NW,Washington,DC,20037,38.906676,-77.048355,,J1772
886,1255 22ND ST STATION 4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1255 22nd St NW,Washington,DC,20037,38.906685,-77.04837,,J1772
887,DC CORRIDOR HAGERSTOWN #4,public,ChargePoint Network,2024-10-10,2021-01-27,1,0,0,17523 Valley Mall Rd,Hagerstown,MD,21740,39.626166,-77.768983,,CHADEMO
888,DC CORRIDOR HAGERSTOWN #3,public,ChargePoint Network,2024-10-10,2021-01-27,1,0,0,17523 Valley Mall Rd,Hagerstown,MD,21740,39.626174,-77.769015,,CHADEMO
889,CENTRAL CENTRAL 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,8455 Fenton Street,Silver Spring,MD,20910,38.994869,-77.023464,,J1772
890,CENTRAL CENTRAL,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,8455 Fenton Street,Silver Spring,MD,20910,38.994813,-77.023436,,J1772
891,WASH COMMERCIAL GUEST,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,10201 Washingtonian Blvd,Gaithersburg,MD,20878,39.120812,-77.205607,,J1772
892,TOWER COMPANIES 1909K STATION 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1909 K St NWUS-29,Washington,DC,20006,38.903002,-77.044173,,J1772
893,MGM RESORTS INT NAT HARBOR L4S2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.795055,-77.009262,,J1772
894,MGM RESORTS INT NAT HARBOR L4S1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.79503,-77.009252,,J1772
895,MGM RESORTS INT NAT HARBOR L6S1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.795046,-77.00923,,J1772
896,MGM RESORTS INT NAT HARBOR L2S2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.794996,-77.009305,,J1772
897,MGM RESORTS INT NAT HARBOR L5S2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.795021,-77.009434,,J1772
898,MGM RESORTS INT NAT HARBOR L1S2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.794996,-77.009391,,J1772
899,MGM RESORTS INT NAT HARBOR L3S2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.794996,-77.009348,,J1772
900,MGM RESORTS INT NAT HARBOR L1S0,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.794971,-77.009359,,J1772
901,MGM RESORTS INT NAT HARBOR L5S1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,101 MGM National Ave,Oxon Hill,MD,20745,38.795005,-77.009252,,J1772
902,BEULAH II BEULAH NG3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,6420 Beulah St,Alexandria,VA,22310,38.779604,-77.146995,,J1772
903,BEULAH II BEULAH NG2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,6420 Beulah St,Alexandria,VA,22310,38.779597,-77.146984,,J1772
904,BEULAH II BEULAH GATEWAY1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,6420 Beulah St,Alexandria,VA,22310,38.779591,-77.146973,,J1772
905,GEORGE MASON U MASON POND 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,Mason Pond Parking Deck,Fairfax,VA,22030,38.830561,-77.309856,,J1772
906,GEORGE MASON U VAN METRE 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,3351 Fairfax Dr,Arlington,VA,22201,38.885165,-77.101229,,J1772
907,GEORGE MASON U VAN METRE 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,3351 Fairfax Dr,Arlington,VA,22201,38.885142,-77.101158,,J1772
908,GEORGE MASON U RAPPAHANNOCK 1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,4393 University Dr,Fairfax,VA,22030,38.835043,-77.306344,,J1772
909,DC CORRIDOR BOX HILL L2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,3491 Merchant Boulevard,Abingdon,MD,21009,39.467983,-76.307534,,J1772
910,CARR PROPERTIES P1 62EE,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.903968,-77.034951,,J1772
911,CARR PROPERTIES P1 62F1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.903976,-77.034963,,J1772
