Fuel_Station_Id,Connector_Type_Code
875,J1772
876,J1772COMBO
877,J1772
878,J1772
879,J1772
880,TESLA
881,J1772
882,TESLA
883,J1772
884,J1772
885,J1772
886,J1772
887,J1772
888,J1772
889,CHADEMO
889,J1772COMBO
890,TESLA
891,J1772
892,J1772
893,J1772
894,J1772
895,J1772
896,J1772
897,J1772
898,J1772
899,J1772COMBO
900,J1772
901,J1772
902,J1772
903,J1772
904,J1772
905,J1772
906,J1772
907,J1772
908,J1772
909,J1772
910,J1772
911,J1772
912,J1772
913,J1772
914,TESLA
915,J1772
916,J1772
917,J1772
918,J1772
919,J1772
920,J1772
921,J1772
922,J1772
923,J1772
924,J1772
925,J1772
926,J1772
927,J1772
928,J1772
929,J1772
930,J1772
931,J1772
932,J1772
933,J1772
934,J1772
935,J1772
936,J1772
937,J1772
938,J1772
939,J1772
940,J1772
941,J1772
942,J1772
943,J1772
944,J1772
945,J1772
946,J1772
947,J1772
948,J1772
949,J1772
950,J1772
951,J1772
952,J1772
953,J1772
954,J1772
955,J1772
956,J1772
957,J1772
958,J1772
959,J1772
960,J1772
961,J1772
962,J1772
963,J1772
964,J1772
965,J1772
966,J1772
967,J1772
968,J1772
969,J1772
970,J1772
971,J1772
972,J1772
973,J1772
974,J1772
975,J1772
976,J1772
977,J1772
978,J1772
979,J1772
980,J1772
981,J1772
982,J1772
983,J1772
984,J1772
985,J1772
986,J1772
987,J1772
988,J1772
989,J1772
990,J1772
991,J1772
992,J1772
993,J1772
994,J1772
995,J1772
996,J1772
997,J1772
998,J1772
999,J1772
999,J1772COMBO
1000,J1772
1001,J1772
1002,J1772
1003,J1772
1004,J1772
1005,J1772
1006,J1772
1007,J1772
1008,J1772
1009,J1772
1010,J1772
1011,J1772
1012,J1772
1013,J1772
1014,J1772
1015,J1772
1016,J1772
1017,J1772
1018,J1772
1019,J1772
1020,J1772
1021,J1772
1022,J1772
1023,J1772
1024,J1772
1025,J1772
1026,J1772
1027,J1772
1028,J1772
1029,J1772
1030,J1772
1031,J1772
1032,J1772
1033,J1772
1034,J1772
1035,J1772
1036,J1772COMBO
1037,J1772
1038,J1772
1039,J1772
1040,J1772
1041,TESLA
1042,TESLA
1043,CHADEMO
1043,J1772
1043,J1772COMBO
1044,TESLA
1045,TESLA
1046,J1772
1047,J1772
1048,J1772
1049,J1772
1050,J1772
1051,CHADEMO
1052,J1772
1053,J1772
1054,J1772
1055,J1772
1056,J1772
1057,J1772
1058,CHADEMO
1058,J1772
1058,J1772COMBO
1059,J1772COMBO
1060,J1772
1061,CHADEMO
1062,J1772
1063,J1772
1064,J1772
1065,J1772
1066,J1772
1067,J1772
1068,CHADEMO
1068,J1772COMBO
1069,CHADEMO
1069,J1772COMBO
1070,TESLA
1071,TESLA
1072,TESLA
1073,TESLA
1074,J1772
1075,CHADEMO
1076,J1772
1077,J1772
1078,J1772
1079,J1772
1080,J1772
1081,J1772
1082,TESLA
1083,J1772
1084,J1772
1085,J1772
1086,J1772
1087,J1772
1088,J1772
1089,J1772
1090,TESLA
1091,TESLA
1092,TESLA
1093,J1772
1094,TESLA
1095,TESLA
1096,TESLA
1097,TESLA
1098,J1772
1099,J1772
1100,TESLA
1101,J1772
1102,J1772
1103,TESLA
1104,TESLA
1105,CHADEMO
1105,J1772
1105,J1772COMBO
1106,J1772
1107,J1772
1108,J1772
1109,J1772
1110,J1772
1111,J1772
1112,J1772
1113,J1772
1114,J1772
1115,J1772
1116,TESLA
1117,J1772
1118,J1772
1119,CHADEMO
1119,J1772COMBO
1120,J1772
1121,CHADEMO
1121,J1772
1121,J1772COMBO
1122,J1772
1123,J1772
1124,J1772
1125,J1772
1126,J1772
1127,TESLA
1128,J1772
1129,J1772
1130,J1772
1131,J1772
1132,J1772
1133,J1772
1134,J1772
1135,J1772
1136,J1772
1137,J1772
1138,J1772
1139,J1772
1140,J1772
1141,J1772
1142,J1772
1143,J1772
1144,J1772
1145,J1772
1146,CHADEMO
1146,J1772COMBO
1147,CHADEMO
1147,J1772COMBO
1148,J1772
1149,J1772
1150,J1772
1151,J1772
1152,J1772
1153,J1772
1154,J1772
1155,J1772
1156,J1772
1157,J1772
1158,J1772
1159,J1772
1160,J1772
1161,J1772COMBO
1162,J1772
1163,J1772
1164,J1772
1165,J1772
1166,J1772
1167,J1772
1168,J1772
1169,J1772
1170,J1772
1171,NEMA1450
1172,J1772
1173,J1772
1174,J1772
1175,J1772
1176,J1772
1177,J1772
1178,J1772
1179,TESLA
1180,TESLA
1181,J1772
1182,TESLA
1183,TESLA
1184,J1772
1185,J1772
1186,TESLA
1187,J1772
1188,J1772
1189,J1772
1190,J1772
1191,J1772
1192,TESLA
1193,J1772
1194,J1772
1195,J1772
1196,J1772
1197,J1772
1198,J1772COMBO
1199,J1772
1200,J1772
1201,J1772
1202,TESLA
1203,J1772
1204,J1772
1205,J1772
1206,J1772
1207,J1772
1208,J1772
1209,J1772
1210,J1772
1211,CHADEMO
1212,CHADEMO
1212,J1772COMBO
1213,J1772
1214,J1772
1215,CHADEMO
1216,J1772
1217,J1772
1218,TESLA
1219,J1772
1220,J1772
1221,J1772
1222,J1772
1223,CHADEMO
1224,J1772
1225,CHADEMO
1226,J1772
1227,J1772
1228,J1772
1229,J1772
1230,J1772
1231,J1772
1232,J1772
1233,J1772
1234,J1772
1235,J1772
1236,J1772
1237,J1772
1238,CHADEMO
1239,J1772
1240,J1772
1241,J1772
1242,J1772
1243,J1772
1244,J1772
1245,J1772
1246,J1772
1247,J1772
1248,J1772
1249,CHADEMO
1250,J1772
1251,J1772
1252,J1772
1253,J1772
1254,J1772
1255,J1772
1256,J1772
1257,J1772
1258,CHADEMO
1259,CHADEMO
1260,J1772
1261,CHADEMO
1262,J1772
1263,CHADEMO
1264,J1772COMBO
1265,CHADEMO
1266,J1772
1267,J1772
1268,J1772
1269,J1772COMBO
1270,J1772
1271,J1772
1272,J1772
1273,J1772
1274,J1772
1275,J1772
1276,J1772
1277,J1772
1278,J1772
1279,J1772
1280,J1772
1281,J1772
1282,J1772
1283,J1772
1284,J1772
1285,J1772
1286,J1772
1287,J1772
1288,J1772
1289,J1772
1290,J1772
1291,J1772
1292,J1772
1293,J1772
1294,J1772
1295,J1772
1296,J1772
1297,TESLA
1298,J1772
1299,J1772
1300,J1772
1301,J1772
1302,J1772
1303,J1772
1304,J1772
1305,J1772
1306,J1772
1307,J1772
1308,J1772
1309,J1772
1310,J1772
1311,J1772
1312,J1772
1313,J1772
1314,J1772
1315,J1772
1316,J1772
1317,J1772
1318,J1772
1319,J1772
1320,CHADEMO
1320,J1772
1320,J1772COMBO
1321,CHADEMO
1321,J1772
1321,J1772COMBO
1322,CHADEMO
1322,J1772
1322,J1772COMBO
1323,CHADEMO
1323,J1772
1323,J1772COMBO
1324,CHADEMO
1324,J1772
1324,J1772COMBO
1325,CHADEMO
1325,J1772COMBO
1326,CHADEMO
1326,J1772COMBO
1327,CHADEMO
1327,J1772
1327,J1772COMBO
1328,CHADEMO
1328,J1772
1328,J1772COMBO
1329,J1772
1330,CHADEMO
1330,J1772COMBO
1331,CHADEMO
1331,J1772
1331,J1772COMBO
1332,CHADEMO
1332,J1772
1332,J1772COMBO
1333,CHADEMO
1333,J1772COMBO
1334,CHADEMO
1334,J1772COMBO
1335,CHADEMO
1335,J1772
1335,J1772COMBO
1336,CHADEMO
1336,J1772COMBO
1337,CHADEMO
1337,J1772COMBO
1338,CHADEMO
1338,J1772COMBO
1339,CHADEMO
1339,J1772COMBO
1340,J1772
1341,J1772
1342,J1772
1343,J1772
1344,J1772
1345,J1772
1346,J1772
1347,CHADEMO
1347,J1772COMBO
1348,J1772
1349,J1772
1350,J1772
1351,J1772
1352,J1772
1353,J1772
1354,J1772
1355,J1772
1356,TESLA
1357,J1772
1358,J1772
1359,J1772
1360,J1772
1361,J1772
1362,J1772
1363,J1772
1364,CHADEMO
1365,J1772
1366,CHADEMO
1367,J1772
1368,J1772
1369,CHADEMO
1370,J1772
1371,J1772
1372,CHADEMO
1373,J1772
1374,J1772
1375,J1772
1376,J1772
1377,TESLA
1378,TESLA
1379,J1772
1380,J1772
1381,J1772
1382,TESLA
1383,TESLA
1384,J1772
1385,J1772
1386,J1772
1387,J1772
1388,J1772
1389,J1772
1390,J1772
1391,CHADEMO
1392,J1772
1393,J1772
1394,J1772
1395,J1772
1396,J1772
1397,J1772
1398,TESLA
1399,TESLA
1400,J1772
1401,J1772
1402,J1772
1403,J1772
1404,J1772
1405,J1772
1406,J1772
1407,J1772
1408,J1772
1409,J1772
1410,J1772
1411,CHADEMO
1412,J1772
1413,J1772
1414,J1772
1415,J1772
1416,J1772
1417,J1772
1418,J1772
1419,J1772
1420,J1772
1421,J1772
1422,J1772
